all: tuturi 
wash: rarondo 
wash: rarondom 
water: karu 
water: ?karu 
water: mana 
weep: namekaru 
weep: poyo 
weep: poyo(wa) 
weep: yob 
we (incl.): re-amo 
we (incl.): wamo 
we: reia 
we: s- 
wet: karu 
we two (incl.): wamo 
what: ainta 
what: animaisye(-pi/-mi) 
what: ruwi-m 
when: nandui-japi/nandui-rati 
when: ruwi-rati 
where: miro 
where: ruwi 
white: bua 
white: buga 
white: bugwa 
white: poper 
who: ara 
who: are(-pi/-mi) 
who: ruwi 
wife: anam 
wife: anamu 
wife: enamu 
wind: obar 
wind: oßar 
wind: ovar 
wind: owa 
wind: owar 
wing: fafate 
wing: papak 
wing: papal 
wing: pepak 
wing: pepat 
wing: φaφate 
woman: rua-mena-wie 
woman: waina 
woman: wanya 
wood: ɟano 
wood: ɟanom 
wood: danom 
wood: jano 
wood: janom 
wood: njoano 
wood: noʝa 
wood: noda 
wood: noja 
wood: nuɟa 
wood: nuja 
wood: nyo 
year: punae 
yellow: boana 
yellow: gua 
yellow: kua 
yellow: kuga 
yellow: kugaawe 
yellow: kugwa 
yellow: uga 
yesterday: namanawe 
yesterday: nandinawe 
you two: i- 
you two: winyamo 
you two: yo 
you: wa- 
you: wea 
you: weyasa 
you: wyapo 
