all: milbamudi 
foot: tsor 
forehead: čabo kwod 
forehead: cabo-qod 
forehead: sabi 
forehead: sarb 
forest: karber 
four: tutu-biar 
four: tutumbiar 
four: tutu-mbiar 
fruit: daram 
fruit: welumbe 
girl: meregh 
girl: meri-meregh 
girl: mərməris 
girl: meseɣ 
girl: mormoris 
give: tuaram 
give: yaraman 
give: yaraman/yaram/waram/twaram/temamenda/temamen/tavamen 
good: audi 
good: naun(u) 
good: naunumoɲa 
grass: kərinǯel 
grass: körinjel 
green: bonga 
green: boŋa 
guts: le 
hair: meri-jeb 
hair: meri-jeb pib-jeb 
hair: meriǯeb 
hair: meriǯeb pibiǯeb 
hair: mer-jib 
hair: mərǯib 
hair: mör-jib 
hand: tang-kor 
hand: tona-kabakab 
hand: tonda 
hand: tond-kambul 
hand: tondo kabakab 
hand: tond-purbur 
head: mògwod 
head: mor 
head: morgwod 
head: moru 
hear: edobònar 
hear: edobornar 
hear: iayid 
hear: iyid 
heart: bengababoi 
heart: beŋababoi 
heavy: idawanuda 
heavy: wokoroda 
here: gobo 
here: somond 
he/she: pe 
he/she: yanda 
he/she: yandi 
he/she: yani 
he/she: yemo(m) 
hit: agod 
hit: tebumod 
hit: turenda 
hole: pele 
hole: pelle 
hole: pelpele 
hole: pel-pele 
house: mongo 
house: moŋo 
how: larnerd 
how: tarnerd 
husband: poivog 
husband: (yand) ar 
I: ta 
I: tarni 
I: yond 
jaw: pedi 
kangaroo: wərar 
kill: toar 
kill: yar 
kill: yaːr 
knee: ter-djiriyang 
knee: tereǯimor 
knee: tero-djimor 
know: muɲabui 
know: munya 
know: munyard 
know: yond munyabi 
laugh: kembole 
leaf: arau 
leaf: wilsab 
leaf: wil-sab 
leaf: wil-sabe 
left: angarpadra 
left: aŋarpadra 
leg: bor-gob 
leg: keb 
leg: keːb 
lie: mendiwakagom 
lightning: panipani 
lightning: pani-pani 
lip: berem-berem-puru 
lip: berumber 
lip: berumbur 
lip: birbirpon 
live: nanaju 
liver: yendom 
liver: yondom 
live: toreji 
live: torje 
long: tobam 
long: tumbwam 
louse: bwe 
louse: bwe  (?\nit\Õ 
louse: emod 
louse: emodo 
louse: ndu 
man: aar 
man: a\ar 
man: ar 
man: tagea 
man: yeaowa\ar 
many: wəraːg 
many: wörag 
meat: dwibwi 
meat: dwi-bwi 
meat: pibi 
moon: tugiu 
morning: abiatog 
morning: yeǯop 
mosquito: guan 
mosquito: gwaɲe 
mosquito: gwañe 
mosquito: gwani 
mother: aam 
mother: a\am 
mother: arm 
mountain: sebem 
mountain: tebem 
mountain: tobim 
mouth: bərbər 
mouth: börbör 
mouth: ped 
name: madodo 
name: mundud 
navel: lebud 
navel: lembud 
navel: limbuda 
neck: kenge 
neck: keŋe 
neck: kubal 
neck: kunge 
night: iarembe 
night: seje 
night: seǯe 
night: yerimb 
night: yirimb 
nose: mebele 
nose: meble 
nose: mernia 
nose: mibele 
not: yau 
old: a\ar tegar 
old: tandawar 
old: tandawer 
one: ambior 
one: ambiur 
one: tedora 
other: awemba 
pull: tidan 
rain: emothi 
rain: emot̪i 
rain: nou 
rat: tobola 
rat: tobolla 
rat: tombol 
red: duled 
red: galungvetagal 
red: guluŋvetagal 
red: gwalurba 
right: tambele 
ripe: komangarem 
ripe: komaŋorem 
river: bumbalabi 
river: bumbalubi tototogabe 
river: tetugabe 
river: totugabwe 
river: wototogabe 
road: wadagula 
road: wədəgəle 
road: wodagal 
road: wödögolo 
root: teremb 
rope: agoda 
rope: angoda 
rope: arngud 
rope: arŋud 
rope: bumbalabiarngud 
rope: bumbala-biarŋud 
rope: pendar 
rope: tau 
salt: taboda 
salt: tarbud 
sand: goba 
sand: tredre 
say: itsi 
say: koria 
scratch: orodorodom 
sea: ara-garb 
sea: čəb 
sea: čerb 
sea: cherb 
sea: cöb 
sea: kwobtu-chöb 
sea: suurb 
sea: taboda 
seed: bwea 
see: yindyə 
see: yindyo 
short: tauamor 
shoulder: čenod 
shoulder: chenjod 
shoulder: tomurop 
sing: pennubod 
sister: tambir 
sister: yambrabo 
sit: kanjur 
sit: kanǯur 
sit: nano 
skin: terim 
skin: tongal 
skin: toŋal 
skin: tungal 
sky: dabar 
sky: tug 
sleep: edabel 
sleep: edbel 
small: limbwa-sabwi 
small: lumbalabi 
small: wolumlachibi 
smell: pongo 
smell: poŋo 
smoke: pentaada 
smoke: tod 
smoke: tuoda 
snake: kanam 
son: pier 
son: pierr 
sour: tabud 
spit: berim 
spit: mend 
spit: omeld 
star: kondo 
stick: tur 
stone: tunda 
stone: tundara 
stone: tu\undar 
stone: unda 
sun: abara 
sun: abiad 
sun: abiaːd 
sun: abiard 
sun: abwiar 
sun: ebiada 
sun: kongo 
sweet: munded 
swim: pijawa 
swim: piǯawa 
tail: kwomba čeb 
tail: kwomba-ceb 
tail: pagar 
tail: piriw-jabujab 
tail: purin ǯabuǯab 
take: togawer 
take: totonda 
that: inamoni 
that: lei 
that: leːi 
that: yebai 
there: desi 
there: məbele 
there: möbele 
there: wogamma 
they: pe 
they: pee 
they two: netumbi 
they two: pe-tumbi 
they: yebe 
they: yebender 
they: yebum 
thick: dimbal 
thigh: piel 
thigh: piyel 
thigh: piyell 
think: ambogobo tarured 
thin: pibiobuna 
this: comond 
this: čomond 
this: N om 
this: sinamon 
this: sinamoni 
this: um 
thou: pie 
thou: piːe 
thou: piene 
thou: pom 
thou: pomo 
thou: pom(o) 
thou: tebe 
three: lambi 
throat: burge 
throat: kaŋamenda 
throat: kange 
throat: kaŋe 
throat: pud 
thunder: aroga 
today: činǯame 
tomorrow: kai 
tomorrow: kaie 
tongue: pelgi 
tongue: pelje 
tongue: pelǯe 
tongue: penji 
tongue: penǯi 
tooth: ohi 
tooth: tol 
tooth: toːl 
tooth: tole\e 
tree: uel 
tree: wei 
tree: wel 
tree: wöle 
tree: wowəle 
two: tumbi 
walk: cinjame 
walk: gam 
walk: narinda 
walk: widan 
walk: yidan 
wallaby: warar 
warm: tagar 
warm: tod 
warm: toːd 
warm: wabodo 
warm: wabud 
water: ara-garb 
water: nou 
water: nòu 
we: argabe 
we: argobe-milbamudi 
weep: ye 
weep: yendagam 
we: teba 
we: tebe 
we: tebene 
we two (incl.): tebene 
we two: tebe(-nder) 
we two: tebene 
we two: yondel 
we two: yonder 
we: yond 
what: dema? 
what: lan 
what: lar 
what: larn 
when: tarm 
where: lai 
where: tagai 
where: togai 
white: jabrad 
white: jambrad 
white: ǯabrad 
white: ǯambrad 
who: ebe 
who: ebe? 
who: eda? 
who: kon(d)a 
who: laːrium 
who: larium? 
wife: təmab 
wife: temarb 
wife: tomab 
wind: wirlam 
wind: wurlam 
wing: damb 
woman: möëg 
woman: mwəeg 
woman: temarb 
woman: tomaben-um 
wood: milgapend 
wood: milga-penda 
wood: wəle 
year: yeža 
yellow: dumbaiad 
yellow: jambarda-tangal 
yellow: ǯambarda taŋal 
yes: a\au 
yes: au 
yesterday: awakungajar 
yesterday: awakuŋaǯar 
you: armilbamudi 
you: jebe 
you: pebe 
you: piene 
you: pom 
you: po-milbamudi 
you: tebe 
you two: pebene 
you two: peber 
you two: pompom 
