all: emangpi 
fat (n.): tamal 
fat (n.): tamál 
fingernail: kohíng 
fingernail: kooking 
fingernail: kuku 
fingernail: kurúsing 
fingernail: kusíl 
fingernail: kusing 
fingernail: kusiŋ 
fire: ad 
fire: ad- 
fire: ard 
fire: had 
fish: ab 
fish: abë 
fish: hab 
five: awóhang 
five: hising 
five: ising 
five: isíng 
five: isiŋ 
five: jeting 
fly (n.): valiál 
fly (n.): valíyal 
fly (n.): vavar 
fly (n.): wawar 
fly (n.): wawer 
fly (n.): wɑwɛr 
fly (v.): iríri 
fly (v.): lila 
fly (v.): lilá\ 
fly (v.): liri 
foot: idzha 
foot: iya 
foot: iyaka 
foot: iyax 
foot: niyax 
forehead: nabang 
forehead: napang 
forehead: napang-tata 
forehead: nappang 
forehead: nɑbaŋ 
forehead: ni-yafá-kal 
forehead: ni-yawá-kal 
four: b!uta 
four: butá 
four: ut 
four: utta 
fruit: hi 
fruit: ihi 
fruit: ipi 
fruit: isi 
girl: (d)zhangu 
give: enang 
give: migɛnɑ(to him) 
good: aghun 
good: aɣʊŋ 
good: aung 
good: a\ung 
good: aúng 
good: haung 
good: nuwa 
good: nuwá 
hair: nebiang-wél 
hair: n-ong-vá 
hair: nɔŋwɑ 
hair: n-ong-wa 
hair: n-ong-wá 
hair: no-ong-wá 
hand: atang 
hand: atáng 
hand: nataŋ 
head: kotok 
head: nab!ihang 
head: nɔːŋkul 
head: ong 
head: ong-kul 
hear: me\e 
here: anga se 
he/she: ana 
he/she: \-e 
he/she: g 
he/she: V- 
hit: buwe 
hit: (d)zhangba 
hit: habá 
hit: kupi 
hit: meháng 
hit: tapa 
hole: (d)zho\u 
house: ee 
house: hava 
house: hawa 
house: mɑ 
house: ma 
how: edeng 
how: tatalang 
I: n 
I: na 
I: na(-ing) 
I: na(-ma) 
I: nana 
I: nang 
I: nan(g) 
I: naŋ 
I: n-(e) 
in: mi 
knee: nɛnkuku 
knee: nenkúku 
knee: nijhakúku 
knee: niyaka b=ung 
knee: niyáka b=ung 
knee: niyakuku 
knee: niyákuku 
know: ete\ing 
lake: oang 
leaf: fa 
leaf: vel 
leaf: wɑ 
leaf: wa 
leaf: wel 
leg: ia 
leg: idzha 
leg: iya 
leg: iyaka 
leg: iyax 
leg: niyax 
lie: teding 
lie: tia 
lip: naʔɛtupɑ 
lip: na-\etupa 
lip: na-tobol 
lip: nebár 
lip: nibár 
lip: niwál 
lip: no-bol 
live: \angu 
live: eb!eta 
long: avéning 
long: evening 
long: ewéning 
long: nawéning 
long: wening 
long: wɛniŋ 
long: wining 
louse: b!ang 
louse: kubang 
louse: kubaŋ 
louse: p!ang 
man: amu 
man: mehal 
man: nehe-mehal 
man: (nehé) mehal 
man: (sa)mesal 
man: (sɑ)mɛsal 
many: bala 
many: toang 
meat: daging 
meat: dɑgɪŋ 
meat: ehi 
meat: humung 
meat: umung 
meat: umúng 
moon: uru 
moon: urúh 
moon: whuru 
mother: ifá 
mother: iiwa 
mother: iva 
mother: iwa 
mother: niwa 
mountain: adúal 
mountain: buku 
mountain: dol 
mountain: pondo 
mouth: na-ag 
mouth: na-ayi 
mouth: n-ag 
mouth: n-ag-gumi 
mouth: n-agúmi 
mouth: n-ay 
mouth: n-ay-bor 
mouth: n-ayi-gomi 
mouth: n-ayómi 
mouth: nɑːyi 
name: anéh 
name: ene 
name: enu 
name: nɛːnu 
navel: na-puwal 
navel: na-puwal-geng 
navel: na-puwar 
navel: nupusar 
navel: nu-pusar 
navel: pohár 
neck: na-boga 
neck: na-bukang 
neck: na-tagh 
neck: no-bo 
neck: no-bo\ 
neck: nɑtaɣ 
new: baru 
new: haba 
new: hiba 
new: siba 
new: wede 
night: b!il kúwa 
night: b!il-kúwa 
night: b!ir-kúwa 
night: il-kakúwa 
night: kakúwa 
night: këmálung 
night: yɛɣanɑ 
night: yeghána 
nose: na-ming 
nose: na-ming-bor 
nose: na-miyáng 
nose: na-miyáng-bugul 
nose: na-miyáng-bugur 
nose: ni-ming 
nose: nimiŋbaxɑ 
nose: ni-ming-baxa 
not: niang 
old: boma 
old: memet 
one: annu 
one: he\i 
one: nu 
one: nuk 
other: ebeung 
person: ne(he) 
rain: anúaar 
rain: anúar 
rain: ay 
rain: nowár 
rain: onor 
rain: ɔnɔr 
rain: unuar 
red: aténing 
red: b!ib!a 
red: bibi 
red: b!ib!i 
red: pɛnɑ 
red: pena 
red: tena 
river: mual 
river: totu 
road: higa 
road: (ʰ)igɑ 
road: lamál 
road: viya 
road: wiya 
road: wiyag 
root: baríking 
root: bëríking 
root: biríking 
root: briking 
root: brikɪŋ 
sand: b!ahi 
sand: b!at 
sand: bhey 
sand: mahi 
sand: olol 
sand: was 
say: banang 
say: hula 
say: tutuk 
sea: tang 
see: eli 
see: eté\ing 
see: lala 
see: lɑla 
see: teyng 
see: uling 
see: ulíng 
shoulder: na-bagat 
shoulder: na-b!eya 
shoulder: na-beyak 
shoulder: na-b!eyak 
shoulder: nɑbɑgat- 
shoulder: nibiit 
sing: orang 
sit: mihá 
sit: mihi 
sit: mihing 
sit: mihíng 
sit: misi 
skin: na-b!ual 
skin: na-b!uar 
skin: ne-buwár 
skin: ne-kol 
skin: nɛkɔl 
skin: ne-\ulit 
sleep: taa 
sleep: tia 
sleep: tiyɑ 
sleep: tiya 
sleep: tiyá 
small: kakíri 
small: keneing 
small: kik 
small: kiki 
small: kurdúk 
small: ol 
smell: minisa 
smoke: ard-bona 
smoke: banáka 
smoke: banángka 
smoke: banáu 
smoke: banaxɑ 
smoke: banáxa 
smoke: bona 
snake: duming 
snake: dumɪŋ 
snake: mong 
snake: moong 
stand: ma-té 
stand: ma-tée 
stand: tahi 
stand: tasiː 
stand: tasii 
star: hid 
star: hird 
star: id 
star: iḍ 
star: ird 
stone: var 
stone: wal 
stone: war 
stone: wyal 
sun: ved 
sun: vid 
sun: viit 
sun: wed 
sun: wɛd- 
sun: wedë 
swim: ururi 
tail: ora 
take: medi 
take: pina 
take: ta\avi 
there: angu se 
they: \anaung 
they: gi 
they: \-i- 
they: \ing 
they: ini 
they: i(y) 
they two: -ole 
thou: aing 
thou: ana 
thou: Ø 
thou: øV- 
three: atóga 
three: tua 
three: tuge 
three: tugɛ 
three: tuwe 
three: tuwé 
throw: oda 
tie: parta 
today: vede-\anga 
tomorrow: tobang 
tongue: na-chabur 
tongue: na-dzhabur 
tongue: na-jabur 
tongue: na-lebur 
tongue: ne-dzhebur 
tongue: ne-zebur 
tongue: nɛǯɛbur 
tooth: na-fehang 
tooth: na-vehing 
tooth: na-wehang 
tooth: na-wehing 
tooth: ne-wehing 
tooth: ne-wessing 
tooth: nɛwɛssiŋ 
tree: te 
tree: te\ 
tree: tɛ 
turn: oboi 
two: akur 
two: ʔakur 
two: alow 
two: aru 
two: arú 
two: haru 
vagina: ar 
vagina: pulula 
walk: ge 
walk: ila 
walk: ira 
walk: irá 
walk: jhema 
walk: lama 
walk: lamal 
walk: va 
warm: bara 
warm: b!ara 
warm: (b!il)bára 
warm: palóha 
warm: tuhung 
warm: tutung 
warm: warɑ 
warm: wara 
wash: b!ai 
wash: laming 
water: dzhar 
water: (d)zhar 
water: dzher 
water: dzhial 
water: dzh(i)al 
water: ǯɛr 
weep: bau 
weep: ne-eng-(h)unung 
weep: n-eng-dzhal 
weep: n-eng-dzhar 
weep: nɛːŋ(h)unuŋ 
weep: n-eng-ono 
weep: n-eyng-ga-dzhial 
we (incl.): pi 
we (incl.): pi(ng) 
we: ni 
we: ni(ng) 
we: pi 
we two (incl.): p-ole 
we two: n-ole 
what: naba 
when: ta-veding 
where: ta-\ang mi 
white: ab!ál 
white: habzhál 
white: madzá\a 
white: majha 
white: majhá\a 
white: mazá\a 
white: mɛxɑ 
white: mexa 
who: nuba 
wind: eang 
wind: enar 
wind: ɛnar 
wind: enéar 
wing: anaung 
woman: dzhagu 
woman: (d)zhangu 
woman: hiyal 
woman: neha-dzhawng 
woman: (nehé) dzangu 
woman: (sa) yaghun 
woman: (sɑ)yaɣuŋ 
wood: ad- 
wood: te 
wood: tɛ 
yesterday: meleng 
you: i 
you: i naung! 
you: i(-ng) 
you: øi- 
you two: ole 
you: yi 
